ADDR_ID, LAT, LON, HUISNR, STRAAT_ID, STRAATNM, POSTCODE, NISCODE, GEM_NAAM, MATCH_NIS, MATCH_GEM
2003326643, 51.1706487916, 4.42851072979, 40, 604, De Burletlaan, 2650, 11002, Antwerpen, 11013, Edegem
2003326782, 51.1706487916, 4.42851072979, 38, 604, De Burletlaan, 2650, 11002, Antwerpen, 11013, Edegem
2003326627, 51.1706487916, 4.42851072979, 22, 604, De Burletlaan, 2650, 11002, Antwerpen, 11013, Edegem
2003326647, 51.1581651052, 4.48406357827, 80, 3331, Appelkantstraat, 2540, 11004, Boechout, 11021, Hove
2003326638, 51.1706487916, 4.42851072979, 2, 604, De Burletlaan, 2650, 11002, Antwerpen, 11013, Edegem
2003326659, 51.1581651052, 4.48406357827, 78, 3331, Appelkantstraat, 2540, 11004, Boechout, 11021, Hove
2003326639, 51.1706487916, 4.42851072979, 26, 604, De Burletlaan, 2650, 11002, Antwerpen, 11013, Edegem
2003326992, 51.1550055886, 4.48389821919, 36, 140395, Grensstraat, 2540, 11004, Boechout, 11021, Hove
2003327068, 51.1550055886, 4.48389821919, 42, 140395, Grensstraat, 2540, 11004, Boechout, 11021, Hove
2003326625, 51.1706487916, 4.42851072979, 14, 604, De Burletlaan, 2650, 11002, Antwerpen, 11013, Edegem
2003326640, 51.1706487916, 4.42851072979, 42, 604, De Burletlaan, 2650, 11002, Antwerpen, 11013, Edegem
2003326781, 51.1706487916, 4.42851072979, 20, 604, De Burletlaan, 2650, 11002, Antwerpen, 11013, Edegem
2003326786, 51.1706487916, 4.42851072979, 32, 604, De Burletlaan, 2650, 11002, Antwerpen, 11013, Edegem
2003327065, 51.1550055886, 4.48389821919, 30, 140395, Grensstraat, 2540, 11004, Boechout, 11021, Hove
2003326720, 51.1550055886, 4.48389821919, 48, 140395, Grensstraat, 2540, 11004, Boechout, 11021, Hove
2003365989, 51.1498337519, 2.71783822427, 257, 61194, Zeedijk, 8430, 38016, Nieuwpoort, 35011, Middelkerke
2003372682, 51.0254438433, 4.00272965033, 31A, 64681, Dorp, 9260, 42003, Berlare, 42026, Wichelen
2003373508, 51.1891423291, 4.44922018909, 305, 666, Deurnestraat, 2640, 11002, Antwerpen, 11029, Mortsel
2003373516, 51.1891423291, 4.44922018909, 321, 666, Deurnestraat, 2640, 11002, Antwerpen, 11029, Mortsel
2003373575, 51.1880843913, 4.44518069251, 43, 1188, Het Prieel, 2640, 11002, Antwerpen, 11029, Mortsel
2003372681, 51.0254438433, 4.00272965033, 29B, 64681, Dorp, 9260, 42003, Berlare, 42026, Wichelen
2003373506, 51.1891423291, 4.44922018909, 301, 666, Deurnestraat, 2640, 11002, Antwerpen, 11029, Mortsel
2003373514, 51.1891423291, 4.44922018909, 317, 666, Deurnestraat, 2640, 11002, Antwerpen, 11029, Mortsel
2003373522, 51.1878477494, 4.42845563136, 300, 1071, Grotesteenweg, 2640, 11002, Antwerpen, 11029, Mortsel
2003372677, 51.0249657368, 4.00404385277, 16, 64681, Dorp, 9260, 42003, Berlare, 42026, Wichelen
2003372679, 51.0250172482, 4.00410317482, 20, 64681, Dorp, 9260, 42003, Berlare, 42026, Wichelen
